id,prediction
001_0_0,0
001_0_16,1
001_0_32,1
001_0_48,0
001_0_64,1
001_0_80,1
001_0_96,0
001_0_112,0
001_0_128,0
001_0_144,1
001_0_160,1
001_0_176,1
001_0_192,1
001_0_208,0
001_0_224,0
001_0_240,1
001_0_256,1
001_0_272,1
001_0_288,1
001_0_304,1
001_0_320,1
001_0_336,1
001_0_352,1
001_0_368,1
001_0_384,1
001_0_400,1
001_0_416,1
001_0_432,1
001_0_448,1
001_0_464,1
001_0_480,1
001_0_496,1
001_0_512,1
001_0_528,1
001_0_544,1
001_0_560,1
001_0_576,1
001_0_592,1
001_16_0,0
001_16_16,0
001_16_32,1
001_16_48,0
001_16_64,0
001_16_80,0
001_16_96,0
001_16_112,0
001_16_128,0
001_16_144,1
001_16_160,1
001_16_176,1
001_16_192,1
001_16_208,0
001_16_224,0
001_16_240,0
001_16_256,1
001_16_272,1
001_16_288,1
001_16_304,1
001_16_320,1
001_16_336,1
001_16_352,1
001_16_368,1
001_16_384,1
001_16_400,1
001_16_416,1
001_16_432,1
001_16_448,1
001_16_464,1
001_16_480,1
001_16_496,1
001_16_512,1
001_16_528,1
001_16_544,1
001_16_560,1
001_16_576,1
001_16_592,1
001_32_0,0
001_32_16,0
001_32_32,0
001_32_48,0
001_32_64,0
001_32_80,0
001_32_96,0
001_32_112,0
001_32_128,0
001_32_144,0
001_32_160,1
001_32_176,1
001_32_192,1
001_32_208,1
001_32_224,0
001_32_240,0
001_32_256,0
001_32_272,0
001_32_288,0
001_32_304,1
001_32_320,0
001_32_336,0
001_32_352,1
001_32_368,1
001_32_384,1
001_32_400,1
001_32_416,1
001_32_432,1
001_32_448,1
001_32_464,1
001_32_480,1
001_32_496,1
001_32_512,1
001_32_528,1
001_32_544,1
001_32_560,1
001_32_576,1
001_32_592,1
001_48_0,0
001_48_16,0
001_48_32,0
001_48_48,0
001_48_64,0
001_48_80,0
001_48_96,0
001_48_112,0
001_48_128,0
001_48_144,0
001_48_160,1
001_48_176,1
001_48_192,1
001_48_208,1
001_48_224,1
001_48_240,1
001_48_256,1
001_48_272,0
001_48_288,0
001_48_304,0
001_48_320,0
001_48_336,0
001_48_352,0
001_48_368,1
001_48_384,1
001_48_400,1
001_48_416,1
001_48_432,0
001_48_448,0
001_48_464,0
001_48_480,1
001_48_496,1
001_48_512,1
001_48_528,1
001_48_544,1
001_48_560,1
001_48_576,1
001_48_592,1
001_64_0,0
001_64_16,0
001_64_32,1
001_64_48,0
001_64_64,0
001_64_80,0
001_64_96,0
001_64_112,0
001_64_128,0
001_64_144,0
001_64_160,1
001_64_176,1
001_64_192,1
001_64_208,1
001_64_224,1
001_64_240,1
001_64_256,1
001_64_272,1
001_64_288,0
001_64_304,1
001_64_320,1
001_64_336,1
001_64_352,1
001_64_368,1
001_64_384,1
001_64_400,1
001_64_416,1
001_64_432,1
001_64_448,0
001_64_464,0
001_64_480,0
001_64_496,1
001_64_512,1
001_64_528,1
001_64_544,1
001_64_560,1
001_64_576,1
001_64_592,1
001_80_0,1
001_80_16,1
001_80_32,1
001_80_48,0
001_80_64,0
001_80_80,0
001_80_96,0
001_80_112,0
001_80_128,0
001_80_144,0
001_80_160,1
001_80_176,1
001_80_192,1
001_80_208,1
001_80_224,1
001_80_240,1
001_80_256,1
001_80_272,1
001_80_288,1
001_80_304,1
001_80_320,1
001_80_336,1
001_80_352,1
001_80_368,1
001_80_384,1
001_80_400,1
001_80_416,1
001_80_432,1
001_80_448,0
001_80_464,0
001_80_480,0
001_80_496,1
001_80_512,1
001_80_528,1
001_80_544,1
001_80_560,1
001_80_576,1
001_80_592,1
001_96_0,1
001_96_16,1
001_96_32,1
001_96_48,1
001_96_64,0
001_96_80,0
001_96_96,0
001_96_112,0
001_96_128,0
001_96_144,0
001_96_160,0
001_96_176,1
001_96_192,1
001_96_208,1
001_96_224,0
001_96_240,0
001_96_256,0
001_96_272,0
001_96_288,0
001_96_304,0
001_96_320,1
001_96_336,1
001_96_352,1
001_96_368,1
001_96_384,1
001_96_400,1
001_96_416,1
001_96_432,1
001_96_448,0
001_96_464,0
001_96_480,0
001_96_496,1
001_96_512,1
001_96_528,1
001_96_544,1
001_96_560,0
001_96_576,1
001_96_592,1
001_112_0,0
001_112_16,1
001_112_32,1
001_112_48,1
001_112_64,0
001_112_80,0
001_112_96,0
001_112_112,0
001_112_128,0
001_112_144,0
001_112_160,0
001_112_176,0
001_112_192,0
001_112_208,1
001_112_224,0
001_112_240,0
001_112_256,0
001_112_272,0
001_112_288,0
001_112_304,0
001_112_320,1
001_112_336,1
001_112_352,1
001_112_368,1
001_112_384,1
001_112_400,1
001_112_416,0
001_112_432,0
001_112_448,0
001_112_464,0
001_112_480,0
001_112_496,0
001_112_512,1
001_112_528,1
001_112_544,1
001_112_560,1
001_112_576,1
001_112_592,1
001_128_0,1
001_128_16,0
001_128_32,1
001_128_48,1
001_128_64,1
001_128_80,1
001_128_96,0
001_128_112,1
001_128_128,1
001_128_144,1
001_128_160,0
001_128_176,0
001_128_192,0
001_128_208,0
001_128_224,0
001_128_240,0
001_128_256,0
001_128_272,0
001_128_288,0
001_128_304,0
001_128_320,1
001_128_336,1
001_128_352,1
001_128_368,1
001_128_384,1
001_128_400,1
001_128_416,0
001_128_432,0
001_128_448,0
001_128_464,0
001_128_480,0
001_128_496,0
001_128_512,0
001_128_528,1
001_128_544,1
001_128_560,1
001_128_576,1
001_128_592,1
001_144_0,1
001_144_16,1
001_144_32,1
001_144_48,1
001_144_64,1
001_144_80,1
001_144_96,1
001_144_112,1
001_144_128,1
001_144_144,1
001_144_160,1
001_144_176,1
001_144_192,0
001_144_208,0
001_144_224,1
001_144_240,1
001_144_256,1
001_144_272,1
001_144_288,1
001_144_304,1
001_144_320,1
001_144_336,0
001_144_352,1
001_144_368,1
001_144_384,1
001_144_400,1
001_144_416,1
001_144_432,0
001_144_448,0
001_144_464,1
001_144_480,1
001_144_496,0
001_144_512,0
001_144_528,1
001_144_544,1
001_144_560,1
001_144_576,1
001_144_592,1
001_160_0,0
001_160_16,1
001_160_32,1
001_160_48,0
001_160_64,0
001_160_80,0
001_160_96,0
001_160_112,0
001_160_128,0
001_160_144,0
001_160_160,0
001_160_176,0
001_160_192,0
001_160_208,0
001_160_224,0
001_160_240,1
001_160_256,1
001_160_272,1
001_160_288,1
001_160_304,0
001_160_320,0
001_160_336,0
001_160_352,0
001_160_368,0
001_160_384,0
001_160_400,0
001_160_416,0
001_160_432,0
001_160_448,0
001_160_464,0
001_160_480,0
001_160_496,0
001_160_512,0
001_160_528,1
001_160_544,1
001_160_560,1
001_160_576,1
001_160_592,1
001_176_0,0
001_176_16,0
001_176_32,1
001_176_48,0
001_176_64,0
001_176_80,0
001_176_96,0
001_176_112,0
001_176_128,0
001_176_144,0
001_176_160,0
001_176_176,0
001_176_192,1
001_176_208,0
001_176_224,0
001_176_240,1
001_176_256,1
001_176_272,1
001_176_288,1
001_176_304,0
